"STEM_ID","IND_ID","MESH","X","Y","SP","LT","LD05","LD15","LD","DBH05","DBH15","DBH20","DBH","RGR20","RGRa","RGRb","ci1","ci2","ci3","ci4"
2347,2345,"ALT800B04",65.1,72.5,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.7,NA,NA,NA,161.932595227057,38.9263575058926,122.007443778024,0.998793943139732
2348,527,"ALT800B04",65.3,73.65,"アブラチャン","DB",NA,NA,0,NA,NA,NA,18.1,NA,NA,NA,89.0046584695485,13.4433563359473,75.5613021336012,0
2349,527,"ALT800B04",65.3,73.65,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2,NA,NA,NA,185.447626877064,45.5018020583668,139.039796661925,0.906028156772554
2350,532,"ALT800B04",62.1,79.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,4.7,NA,NA,NA,134.995159151467,39.6281220198784,94.8580854615481,0.508951670040393
2351,532,"ALT800B04",62.1,79.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,4,NA,NA,NA,147.284220175136,37.0912941252399,109.157192537852,1.03573351204399
2352,532,"ALT800B04",62.1,79.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.2,NA,NA,NA,163.223153809256,37.8831028152743,124.653743344914,0.686307649067104
2353,532,"ALT800B04",62.1,79.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.1,NA,NA,NA,167.800786721838,39.377821673938,127.703976082211,0.718988965689347
2354,2354,"ALT800B04",67.8,79.25,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.6,NA,NA,NA,163.641950046228,39.9334056277027,122.880613530934,0.827930887591087
2355,2355,"ALT800B04",69.5,76.55,"アブラチャン","DB",NA,NA,0,NA,NA,NA,4,NA,NA,NA,148.284408189791,35.2721623155982,112.080482442836,0.931763431357125
2356,2355,"ALT800B04",69.5,76.55,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.1,NA,NA,NA,175.900263537081,39.6825946769245,135.13472373183,1.0829451283271
2357,539,"ALT800B05",63.55,83.4,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.3,NA,NA,NA,165.05278339595,33.8180946842333,129.790505385712,1.4441833260049
2358,539,"ALT800B05",63.55,83.4,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.6,NA,NA,NA,150.763413414431,33.560385387727,116.442286891821,0.760741134883502
2359,539,"ALT800B05",63.55,83.4,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.9,NA,NA,NA,161.097707849886,46.3306433057462,113.923033311337,0.844031232802367
2360,539,"ALT800B05",63.55,83.4,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.6,NA,NA,NA,150.763413414431,33.560385387727,116.442286891821,0.760741134883502
2361,2361,"ALT800B05",62.85,83.25,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.4,NA,NA,NA,162.672455864642,40.0987404685826,121.830664945547,0.743050450512192
2362,2362,"ALT800B05",64,86.45,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.5,NA,NA,NA,152.277358710496,33.4890226816859,117.713555569497,1.07478045931355
2363,2363,"ALT800B05",61.45,88.2,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.8,NA,NA,NA,145.611649020958,34.7143937045526,110.192377626518,0.704877689886847
2364,542,"ALT800B05",61.15,89.6,"アブラチャン","DB",NA,NA,0,NA,NA,NA,4.1,NA,NA,NA,133.883735223717,42.337541244228,91.0205134225688,0.525680556920203
2365,542,"ALT800B05",61.15,89.6,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.6,NA,NA,NA,144.777673402982,27.6334343990138,116.260103248868,0.884135755100474
2366,542,"ALT800B05",61.15,89.6,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.2,NA,NA,NA,138.674986944239,29.6463552649781,108.369072405825,0.659559273436444
2367,2367,"ALT800B05",67.15,92.7,"ミツデカエデ","DB",NA,NA,0,NA,NA,NA,2.4,NA,NA,NA,126.880024674893,19.8730939104219,106.090027734187,0.916903030284207
2368,543,"ALT800B05",65.4,93.35,"アブラチャン","DB",NA,NA,0,NA,NA,NA,4,NA,NA,NA,124.681527149105,28.3379467006819,95.7255112647934,0.618069183629993
2369,543,"ALT800B05",65.4,93.35,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.7,NA,NA,NA,131.285410427661,20.9297163437405,109.310858611225,1.04483547269492
2370,543,"ALT800B05",65.4,93.35,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.2,NA,NA,NA,122.888892391136,21.1035435407186,101.020167084896,0.765181765521509
2371,543,"ALT800B05",65.4,93.35,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.1,NA,NA,NA,124.902681460971,20.2658491756799,103.910444422652,0.726387862639307
2372,2372,"ALT800B05",62.95,90.95,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.5,NA,NA,NA,138.753495128363,23.5867196294642,114.465853453852,0.700922045047509
2373,2372,"ALT800B05",62.95,90.95,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.4,NA,NA,NA,142.429790989191,24.3225466554565,117.325857394712,0.781386939022482
2374,2372,"ALT800B05",62.95,90.95,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.1,NA,NA,NA,146.890616166735,24.461560979595,121.792020926334,0.637034260806552
2375,2375,"ALT800B05",61.1,96.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.6,NA,NA,NA,120.240114687299,26.7953022862431,92.8207526209922,0.624059780063543
2376,2375,"ALT800B05",61.1,96.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.6,NA,NA,NA,120.240114687299,26.7953022862431,92.8207526209922,0.624059780063543
2377,2375,"ALT800B05",61.1,96.15,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.1,NA,NA,NA,128.198544691908,19.8285023514643,107.373308615957,0.996733724486455
2378,2378,"ALT800B05",62.95,97.5,"アブラチャン","DB",NA,NA,0,NA,NA,NA,2.8,NA,NA,NA,134.237210799538,19.0443486258859,113.995528570103,1.19733360355003
2379,548,"ALT800B05",66.05,97.2,"アブラチャン","DB",NA,NA,0,NA,NA,NA,3.1,NA,NA,NA,126.762366108528,16.902669150095,108.6602197813,1.19947717713224
2380,2380,"ALT800B05",66.2,99.85,"オオモミジ","DB",NA,NA,0,NA,NA,NA,4.4,NA,NA,NA,92.5612937014134,12.9121787667386,79.0587372442697,0.590377690405201
